series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,7,7,min-max,knn,translate,delelete_bad,3.997,0.8871055623374583,0.7885302922356479,2.3971526615260257,0.06562191227682783,12.28894146246766,0.84375,0.25
2,FIFTS,3,7,7,min-max,knn,translate,delelete_bad,3.997,0.8897496708502745,0.7884587762028771,2.36894053393736,0.06482982486988378,12.129609602988577,1.0625,0.75
2,FIFTS,3,7,7,min-max,knn,translate,nothing,3.997,0.8871055623374583,0.7885302922356479,2.3971526615260257,0.06562191227682783,12.28894146246766,0.890625,0.5
2,FIFTS,3,7,7,min-max,knn,translate,nothing,3.997,0.8871055623374583,0.7885302922356479,2.3971526615260257,0.06562191227682783,12.28894146246766,0.84375,0.25
2,FIFTS,3,7,7,min-max,knn,translate,nothing,3.997,0.8897496708502745,0.7884587762028771,2.36894053393736,0.06482982486988378,12.129609602988577,1.078125,0.75
2,FIFTS,3,7,7,min-max,knn,nothing,delelete_bad,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.328125,0.5
2,FIFTS,3,7,7,min-max,knn,nothing,delelete_bad,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.3125,0.25
2,FIFTS,3,7,7,min-max,knn,nothing,delelete_bad,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.28125,0.75
2,FIFTS,3,7,7,min-max,knn,nothing,nothing,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.296875,0.5
2,FIFTS,3,7,7,min-max,knn,nothing,nothing,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.28125,0.25
2,FIFTS,3,7,7,min-max,knn,nothing,nothing,3.997,0.8782932345751158,0.784518319213314,2.479415800830478,0.06742594961913626,12.653144357180631,0.328125,0.75
2,FIFTS,3,7,7,min-max,uniform,translate,delelete_bad,3.997,0.9602957560248312,0.9420425948710093,0.9590126956248354,0.025827790186892477,4.8982413229937745,0.890625,0.5
