series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,9,min-max,knn,100,0.9992941884133254,0.9990685312626283,0.1135152543974562,0.0035255848748213556,1.3158252640608885,19.53125
2,TVFTS,3,9,min-max,knn,75,0.9993827521527676,0.9991242498125941,0.10608628343126343,0.0033137599503392135,1.2402592273536637,15.25
2,TVFTS,3,9,min-max,knn,50,0.9995239510794205,0.9993040979949436,0.09329965483868673,0.0029815662860895563,1.1131826886976843,10.1875
2,TVFTS,3,9,min-max,knn,25,0.9996132054654673,0.999474484990243,0.08403531870902778,0.0026947193710752555,1.003783335649487,5.765625
2,TVFTS,3,9,min-max,knn,10,0.9996166888398321,0.9994838545398826,0.08365884456681656,0.002678455801920885,0.998567291463952,3.171875
2,TVFTS,3,9,min-max,knn,5,0.999615864321881,0.9994822441250657,0.0837499584855411,0.0026820183658259724,0.9999978364745284,2.203125
2,TVFTS,3,9,min-max,uniform,300,0.999278089193548,0.9992020079108626,0.11736145243045887,0.003561869324183619,1.3432619388458389,36.046875
2,TVFTS,3,9,min-max,uniform,250,0.9992892640607682,0.9991681185938317,0.11555352965226623,0.0035578091617226738,1.342036409883986,31.328125
2,TVFTS,3,9,min-max,uniform,150,0.9992744816396142,0.9990250786053688,0.11515906703794997,0.003600147413584013,1.3444549893800806,20.453125
2,TVFTS,3,9,min-max,uniform,100,0.9993161564646538,0.9990671551992213,0.11186280327515194,0.003435765398969703,1.2854821067387505,14.25
2,TVFTS,3,9,min-max,uniform,75,0.9993499862858908,0.9990720495382828,0.10893925232350433,0.0033874782166327133,1.2688749162389517,11.046875
2,TVFTS,3,9,min-max,uniform,50,0.9995112579353691,0.9993003814219423,0.0945579717741983,0.003007234339655619,1.1239702769068634,7.9375
2,TVFTS,3,9,min-max,uniform,25,0.9996109267535337,0.9994724629582059,0.08430155136171566,0.002701067085500667,1.0058635543879304,4.8125
2,TVFTS,3,9,min-max,uniform,10,0.9996168702658808,0.999483929652514,0.08363929792185965,0.002677564492215098,0.9982455946169263,2.5
2,TVFTS,3,9,min-max,uniform,5,0.9996158636530729,0.9994822441250657,0.08375003973798896,0.0026820204711346437,0.9999988712796083,1.796875
2,TVFTS,2,3,mu-sigma,knn,300,0.9819092696708192,0.980967758654102,0.6642767750810318,0.01845631826564409,7.183348036538654,31.40625
2,TVFTS,2,3,mu-sigma,knn,250,0.9835552439254135,0.9821133028976952,0.6235585695792294,0.017564611311091348,6.796309675436719,27.21875
2,TVFTS,2,3,mu-sigma,knn,150,0.9832409611319619,0.9785514318720923,0.5711915693514574,0.01646065741954097,6.186761937115491,17.59375
2,TVFTS,2,3,mu-sigma,knn,100,0.986784363966827,0.9830632628626627,0.49731582604370644,0.013508249482259404,5.119957442203942,12.265625
2,TVFTS,2,3,mu-sigma,knn,75,0.9909594216456732,0.987887113226283,0.4112351912424386,0.011123193065175545,4.204773342444834,9.515625
2,TVFTS,2,3,mu-sigma,knn,50,0.9959018309403558,0.9946049451152004,0.27663769384475206,0.007542558642118852,2.847901121252625,6.328125
2,TVFTS,2,3,mu-sigma,knn,25,0.9987355299227334,0.9982933598931598,0.15195183279539978,0.0042997099605342455,1.6049632878603133,3.609375
2,TVFTS,2,3,mu-sigma,knn,10,0.9996265764104588,0.9994871414686324,0.08257832116399363,0.0026215275352301794,0.9775042369403562,1.78125
2,TVFTS,2,3,mu-sigma,knn,5,0.9997164370594902,0.9996101098597348,0.07194796799734457,0.00232420639044117,0.866332073356147,1.15625
2,TVFTS,2,3,mu-sigma,uniform,300,0.9933454726300988,0.9923587304162593,0.37351375371158024,0.009759201735310204,3.7650795215178583,23.40625
2,TVFTS,2,3,mu-sigma,uniform,250,0.9941176630045385,0.9928876495304709,0.34162131517305705,0.008782646843010111,3.3678389898738326,19.796875
2,TVFTS,2,3,mu-sigma,uniform,150,0.9891390628431544,0.986727957071629,0.45043568399605793,0.011193761678744545,4.264687744048575,13.234375
2,TVFTS,2,3,mu-sigma,uniform,100,0.9911546253752292,0.9901773904970503,0.4069647069925736,0.010091736289792841,3.800693839362688,9.265625
2,TVFTS,2,3,mu-sigma,uniform,75,0.9926753568838893,0.990769175879231,0.36832668157338777,0.009766764800032067,3.6654616855839546,7.109375
2,TVFTS,2,3,mu-sigma,uniform,50,0.9962196136734189,0.9952792387184586,0.2667578006115985,0.007362921836449528,2.757300292932804,4.9375
2,TVFTS,2,3,mu-sigma,uniform,25,0.9989795596090171,0.9986820151817651,0.1376094930823206,0.004051027601946654,1.5168320736520176,2.625
2,TVFTS,2,3,mu-sigma,uniform,10,0.9997216674213709,0.9996133562276635,0.071247014925201,0.0022543742875542855,0.8397856468128944,1.3125
2,TVFTS,2,3,mu-sigma,uniform,5,0.9998085994609621,0.9997302975812232,0.059121269904949356,0.0018995066571906205,0.7069969623449586,0.890625
2,TVFTS,2,3,min-max,knn,300,0.9834838429238087,0.9836922049613396,0.6498732163387294,0.01800838403100874,6.9859289906526145,30.703125
2,TVFTS,2,3,min-max,knn,250,0.9850131610373122,0.9840713164390004,0.5994627592167568,0.016557997368406668,6.353074982929665,26.1875
2,TVFTS,2,3,min-max,knn,150,0.9876128298305428,0.9850683059247342,0.49382100794129496,0.014324667349602286,5.37299998031883,16.546875
2,TVFTS,2,3,min-max,knn,100,0.9914448315635376,0.9889535879050638,0.40514226226307737,0.01154704367644648,4.382615190614859,11.828125
2,TVFTS,2,3,min-max,knn,75,0.9932699853474523,0.99133258821603,0.3529797528822228,0.010002945569257534,3.7857186936263894,8.734375
2,TVFTS,2,3,min-max,knn,50,0.9966108327352018,0.9951545081850236,0.25071768411304274,0.007487780318023075,2.821802919890557,6.21875
2,TVFTS,2,3,min-max,knn,25,0.998803311181095,0.9983034069587349,0.14786729823592096,0.004613169209832515,1.7249335106860193,3.109375
2,TVFTS,2,3,min-max,knn,10,0.9995171862754002,0.9993410233645351,0.09392240462001988,0.003052737122038308,1.139578725961109,1.390625
2,TVFTS,2,3,min-max,knn,5,0.9996376713808806,0.9995107253322689,0.08133806789220586,0.0026175910899308296,0.9764206187159404,0.8125
2,TVFTS,2,3,min-max,uniform,300,0.9925430550614732,0.9921992317480064,0.3910814819984651,0.010687164573173997,4.105182961703794,22.890625
2,TVFTS,2,3,min-max,uniform,250,0.9932003082794446,0.9919390896649527,0.37002702593180514,0.010322148588180886,3.9407471977846362,19.5
2,TVFTS,2,3,min-max,uniform,150,0.9925579897074549,0.9895826637042245,0.37212463253390826,0.010730833670212402,4.036624567980044,12.765625
2,TVFTS,2,3,min-max,uniform,100,0.9936789092525597,0.9921712793333604,0.3418252087051893,0.009037458169935618,3.3963779529712026,8.703125
2,TVFTS,2,3,min-max,uniform,75,0.9942972407765621,0.9929992113173706,0.32244173024503436,0.0085111650550152,3.217955866873949,6.796875
2,TVFTS,2,3,min-max,uniform,50,0.9970157297189757,0.9958010341507092,0.23501085467449942,0.006494257782815078,2.4358868437246843,4.59375
2,TVFTS,2,3,min-max,uniform,25,0.9990174508546176,0.9986671383739918,0.13407643280129228,0.003943507852368699,1.4661567657997943,2.515625
2,TVFTS,2,3,min-max,uniform,10,0.999621342994909,0.9994910608457381,0.08321112871104709,0.0026535924265984473,0.9904137758553528,1.15625
2,TVFTS,2,3,min-max,uniform,5,0.9997054439869076,0.9995954722855407,0.07332134943714232,0.00234259967241978,0.8735429702171601,0.671875
